Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
276-75-6884,A,Yangon,Normal,Female,Health and beauty,68.71,3,10.3065,216.4365,43528,0.420138889,Cash,206.13,4.761904762,10.3065,8.7
701-69-8742,B,Mandalay,Normal,Male,Sports and travel,34.37,10,17.185,360.885,43540,0.424305556,Ewallet,343.7,4.761904762,17.185,6.7
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,43539,0.425,Credit card,193.16,4.761904762,9.658,5.1
856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,43547,0.425694444,Ewallet,25.29,4.761904762,1.2645,6.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,43547,0.427777778,Ewallet,158.25,4.761904762,7.9125,9.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,43533,0.428472222,Cash,244.55,4.761904762,12.2275,6.6
527-09-6272,A,Yangon,Member,Female,Electronic accessories,28.45,5,7.1125,149.3625,43545,0.428472222,Credit card,142.25,4.761904762,7.1125,9.1
361-85-2571,A,Yangon,Normal,Female,Sports and travel,89.48,5,22.37,469.77,43554,0.429166667,Cash,447.4,4.761904762,22.37,7.4
811-03-8790,A,Yangon,Normal,Female,Electronic accessories,45.48,10,22.74,477.54,43525,0.431944444,Credit card,454.8,4.761904762,22.74,4.8
399-69-4630,C,Naypyitaw,Normal,Male,Electronic accessories,22.21,6,6.663,139.923,43531,0.432638889,Credit card,133.26,4.761904762,6.663,8.6
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,43549,0.432638889,Cash,382.6,4.761904762,19.13,9.9
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,43553,0.434027778,Ewallet,878.7,4.761904762,43.935,5.1
760-54-1821,B,Mandalay,Normal,Male,Home and lifestyle,13.59,9,6.1155,128.4255,43539,0.434722222,Cash,122.31,4.761904762,6.1155,5.8
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,43532,0.436805556,Cash,76.4,4.761904762,3.82,9.6
468-88-0009,A,Yangon,Member,Male,Home and lifestyle,65.94,4,13.188,276.948,43548,0.436805556,Cash,263.76,4.761904762,13.188,6
236-27-1144,C,Naypyitaw,Normal,Female,Food and beverages,16.31,9,7.3395,154.1295,43550,0.438194444,Ewallet,146.79,4.761904762,7.3395,8.4
734-91-1155,B,Mandalay,Normal,Female,Electronic accessories,45.71,3,6.8565,143.9865,43550,0.440277778,Credit card,137.13,4.761904762,6.8565,7.7
885-17-6250,A,Yangon,Normal,Female,Health and beauty,79.74,1,3.987,83.727,43530,0.441666667,Ewallet,79.74,4.761904762,3.987,7.3
221-25-5073,A,Yangon,Normal,Female,Food and beverages,74.66,4,14.932,313.572,43528,0.44375,Cash,298.64,4.761904762,14.932,8.5
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,43529,0.444444444,Ewallet,263.94,4.761904762,13.197,5.1
512-98-1403,A,Yangon,Member,Female,Electronic accessories,26.48,3,3.972,83.412,43545,0.444444444,Ewallet,79.44,4.761904762,3.972,4.7
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,43548,0.446527778,Cash,305.82,4.761904762,15.291,4.2
702-83-5291,C,Naypyitaw,Member,Male,Fashion accessories,99.82,9,44.919,943.299,43551,0.446527778,Cash,898.38,4.761904762,44.919,6.6
359-94-5395,B,Mandalay,Normal,Male,Health and beauty,92.78,1,4.639,97.419,43539,0.451388889,Credit card,92.78,4.761904762,4.639,9.8
325-77-6186,A,Yangon,Member,Female,Home and lifestyle,90.65,10,45.325,951.825,43532,0.453472222,Ewallet,906.5,4.761904762,45.325,7.3
302-15-2162,C,Naypyitaw,Member,Male,Health and beauty,46.53,6,13.959,293.139,43527,0.454166667,Credit card,279.18,4.761904762,13.959,4.3
299-29-0180,B,Mandalay,Member,Female,Home and lifestyle,52.18,7,18.263,383.523,43533,0.454166667,Cash,365.26,4.761904762,18.263,9.3
851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,7.75,162.75,43547,0.454861111,Ewallet,155,4.761904762,7.75,8
427-45-9297,B,Mandalay,Member,Female,Home and lifestyle,40.73,7,14.2555,299.3655,43536,0.459027778,Ewallet,285.11,4.761904762,14.2555,5.4
449-27-2918,B,Mandalay,Member,Female,Sports and travel,39.12,1,1.956,41.076,43550,0.459722222,Credit card,39.12,4.761904762,1.956,9.6
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,43535,0.460416667,Credit card,482.51,4.761904762,24.1255,4.6
379-17-6588,C,Naypyitaw,Normal,Male,Fashion accessories,59.61,10,29.805,625.905,43538,0.463194444,Cash,596.1,4.761904762,29.805,5.3
587-73-4862,A,Yangon,Member,Female,Health and beauty,10.69,5,2.6725,56.1225,43550,0.463194444,Ewallet,53.45,4.761904762,2.6725,7.6
210-30-7976,B,Mandalay,Member,Female,Fashion accessories,22.32,4,4.464,93.744,43538,0.469444444,Ewallet,89.28,4.761904762,4.464,4.1
586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,4.319,90.699,43528,0.471527778,Credit card,86.38,4.761904762,4.319,6.7
442-48-3607,A,Yangon,Member,Male,Food and beverages,23.48,2,2.348,49.308,43538,0.472916667,Credit card,46.96,4.761904762,2.348,7.9
878-30-2331,C,Naypyitaw,Member,Female,Sports and travel,54.55,10,27.275,572.775,43526,0.473611111,Credit card,545.5,4.761904762,27.275,7.1
290-68-2984,A,Yangon,Normal,Male,Home and lifestyle,23.75,4,4.75,99.75,43540,0.473611111,Cash,95,4.761904762,4.75,5.2
277-35-5865,C,Naypyitaw,Member,Female,Food and beverages,98.97,9,44.5365,935.2665,43533,0.474305556,Cash,890.73,4.761904762,44.5365,6.7
451-28-5717,C,Naypyitaw,Member,Female,Home and lifestyle,83.17,6,24.951,523.971,43544,0.474305556,Cash,499.02,4.761904762,24.951,7.3
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,43551,0.476388889,Cash,88.68,4.761904762,4.434,5.8
759-29-9521,A,Yangon,Member,Female,Fashion accessories,48.96,9,22.032,462.672,43528,0.477083333,Cash,440.64,4.761904762,22.032,8
420-04-7590,B,Mandalay,Normal,Male,Home and lifestyle,99.7,3,14.955,314.055,43542,0.478472222,Ewallet,299.1,4.761904762,14.955,4.7
470-31-3286,B,Mandalay,Normal,Male,Health and beauty,14.82,3,2.223,46.683,43525,0.479166667,Credit card,44.46,4.761904762,2.223,8.7
831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,43543,0.479166667,Credit card,163.55,4.761904762,8.1775,9.9
805-86-0265,A,Yangon,Normal,Male,Home and lifestyle,93.96,9,42.282,887.922,43544,0.480555556,Cash,845.64,4.761904762,42.282,9.8
643-38-7867,A,Yangon,Normal,Male,Home and lifestyle,97.94,1,4.897,102.837,43531,0.488888889,Ewallet,97.94,4.761904762,4.897,6.9
585-03-5943,B,Mandalay,Normal,Male,Health and beauty,18.11,10,9.055,190.155,43537,0.490277778,Ewallet,181.1,4.761904762,9.055,5.9
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,43531,0.492361111,Ewallet,32.32,4.761904762,1.616,6.5
737-88-5876,A,Yangon,Member,Male,Home and lifestyle,23.29,4,4.658,97.818,43543,0.494444444,Credit card,93.16,4.761904762,4.658,5.9
883-69-1285,B,Mandalay,Member,Male,Fashion accessories,49.92,2,4.992,104.832,43530,0.496527778,Credit card,99.84,4.761904762,4.992,7
152-03-4217,B,Mandalay,Normal,Female,Home and lifestyle,11.28,9,5.076,106.596,43541,0.496527778,Credit card,101.52,4.761904762,5.076,4.3
542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,11.498,241.458,43539,0.497916667,Cash,229.96,4.761904762,11.498,6.6
448-81-5016,A,Yangon,Normal,Male,Health and beauty,59.77,2,5.977,125.517,43535,0.500694444,Credit card,119.54,4.761904762,5.977,5.8
749-81-8133,A,Yangon,Normal,Female,Fashion accessories,94.67,4,18.934,397.614,43535,0.502777778,Cash,378.68,4.761904762,18.934,6.8
189-52-0236,A,Yangon,Normal,Male,Electronic accessories,99.55,7,34.8425,731.6925,43538,0.504861111,Cash,696.85,4.761904762,34.8425,7.6
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,43536,0.50625,Credit card,579.24,4.761904762,28.962,8.6
207-73-1363,B,Mandalay,Normal,Male,Health and beauty,69.51,2,6.951,145.971,43525,0.510416667,Ewallet,139.02,4.761904762,6.951,8.1
318-81-2368,C,Naypyitaw,Normal,Female,Electronic accessories,46.2,1,2.31,48.51,43543,0.511111111,Cash,46.2,4.761904762,2.31,6.3
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,43534,0.511805556,Credit card,175.34,4.761904762,8.767,7.7
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,43539,0.513888889,Credit card,66.4,4.761904762,3.32,4.4
227-50-3718,A,Yangon,Normal,Male,Health and beauty,14.62,5,3.655,76.755,43528,0.515972222,Cash,73.1,4.761904762,3.655,4.4
509-29-3912,A,Yangon,Member,Female,Sports and travel,38.72,9,17.424,365.904,43544,0.516666667,Ewallet,348.48,4.761904762,17.424,4.2
234-03-4040,B,Mandalay,Member,Female,Food and beverages,73.05,10,36.525,767.025,43527,0.517361111,Credit card,730.5,4.761904762,36.525,8.7
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,43530,0.51875,Credit card,158.1,4.761904762,7.905,8.6
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,43529,0.520138889,Ewallet,109.7,4.761904762,5.485,5.3
174-75-0888,B,Mandalay,Normal,Male,Electronic accessories,21.58,9,9.711,203.931,43538,0.522222222,Cash,194.22,4.761904762,9.711,7.3
636-98-3364,B,Mandalay,Member,Female,Electronic accessories,26.26,3,3.939,82.719,43526,0.525,Ewallet,78.78,4.761904762,3.939,6.3
816-57-2053,A,Yangon,Normal,Male,Sports and travel,60.87,2,6.087,127.827,43533,0.525694444,Ewallet,121.74,4.761904762,6.087,8.7
607-65-2441,C,Naypyitaw,Member,Male,Health and beauty,81.95,10,40.975,860.475,43534,0.527083333,Credit card,819.5,4.761904762,40.975,6
640-48-5028,B,Mandalay,Member,Female,Home and lifestyle,88.39,9,39.7755,835.2855,43526,0.527777778,Cash,795.51,4.761904762,39.7755,6.3
733-29-1227,C,Naypyitaw,Normal,Male,Home and lifestyle,55.61,7,19.4635,408.7335,43547,0.528472222,Cash,389.27,4.761904762,19.4635,8.5
253-12-6086,A,Yangon,Member,Female,Sports and travel,98.4,7,34.44,723.24,43536,0.529861111,Credit card,688.8,4.761904762,34.44,8.7
727-17-0390,A,Yangon,Normal,Female,Food and beverages,63.61,5,15.9025,333.9525,43540,0.529861111,Ewallet,318.05,4.761904762,15.9025,4.8
