Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
316-68-6352,A111,Yangon,Member,Male,Food and beverages,36.36,2,3.636,76.356,43486,0.4166666666666667,Cash,72.72,3.636,7.1
522-57-8364,A,Yangon,Member,Female,Fashion accessories,51.34,8,20.536,431.256,43496,0.4166666666666667,Ewallet,410.72,20.536,7.6
679-22-6530,B,Mandalay,Normal,Female,Sports and travel,40.62,2,4.062,85.302,43482,0.4173611111111111,Credit card,81.24,4.062,4.1
606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,5.745,120.645,43494,0.4173611111111111,Credit card,114.9,5.745,6.8
426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,43479,0.41805555555555557,Cash,429.87,21.4935,9.8
460-93-5834,A,Yangon,Normal,Male,Sports and travel,45.58,7,15.953,335.013,43478,0.41875,Cash,319.06,15.953,5
232-11-3025,A,Yangon,Normal,Male,Sports and travel, Sports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travel,78.77,10,39.385,827.085,43489,0.41944444444444445,Cash,787.7,39.385,6.4
881-41-7302,C,Naypyitaw,Normal,Female,Fashion accessories,64.99,1,3.2495,68.2395,43491,0.42083333333333334,Credit card,64.99,3.2495,4.5
320-85-2052,B,Mandalay,Normal,Female,Sports and travel,34.81,1,1.7405,36.5505,43479,0.42430555555555555,Credit card,34.81,1.7405,7
562-12-5430,A,Yangon,Member,Female,Fashion accessories,88.15,3,13.2225,277.6725,43483,0.42430555555555555,Ewallet,264.45,13.2225,7.9
730-61-8757,B,Mandalay,Member,Male,Health and beauty,51.13,4,10.226,214.746,43490,0.42430555555555555,Credit card,204.52,10.226,4
725-96-3778,C,Naypyitaw,Member,Female,Home and lifestyle,89.25,8,35.7,749.7,43485,0.42569444444444443,Cash,714,35.7,4.7
761-49-0439,B,Mandalay,Member,Female,Electronic accessories,12.1,8,4.84,101.64,43484,0.4284722222222222,Ewallet,96.8,4.84,8.6
790-38-4466,C,Naypyitaw,Normal,Female,Health and beauty,10.99,5,2.7475,57.6975,43488,0.4291666666666667,Credit card,54.95,2.7475,9.3
779-06-0012,C,Naypyitaw,Member,Female,Home and lifestyle,88.61,1,4.4305,93.0405,43484,0.43124999999999997,Cash,88.61,4.4305,7.7
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,43488,0.43402777777777773,Cash,189.52,9.476,7.1
213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06,6,19.818,416.178,43488,0.4361111111111111,Cash,396.36,19.818,7.3
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.794,79.674,43468,0.4375,Credit card,75.88,3.794,7.1
887-42-0517,C,Naypyitaw,Normal,Female,Sports and travel,83.14,7,29.099,611.079,43475,0.4381944444444445,Credit card,581.98,29.099,6.6
241-11-2261,B,Mandalay,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,43475,0.4395833333333334,Credit card,559.02,27.951,5.5
148-41-7930,C,Naypyitaw,Normal,Male,Health and beauty,99.96,7,34.986,734.706,43488,0.4395833333333334,Cash,699.72,34.986,6.1
189-55-2313,C,Naypyitaw,Normal,Female,Fashion accessories,62.18,10,31.09,652.89,43496,0.4395833333333334,Ewallet,621.8,31.09,6
735-32-9839,C,Naypyitaw,Member,Male,Fashion accessories,98.7,8,39.48,829.08,43496,0.44166666666666665,Ewallet,789.6,39.48,8.5
289-15-7034,A,Yangon,Member,Male,Sports and travel,82.33,4,16.466,345.786,43476,0.44236111111111115,Credit card,329.32,16.466,7.5
349-97-8902,B,Mandalay,Member,Male,Food and beverages,57.89,2,5.789,121.569,43482,0.44236111111111115,Ewallet,115.78,5.789,8.9
559-61-5987,B,Mandalay,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,43479,0.44305555555555554,Cash,17.75,0.8875,8.6
438-23-1242,B,Mandalay,Normal,Male,Electronic accessories,75.88,7,26.558,557.718,43489,0.44305555555555554,Ewallet,531.16,26.558,8.9
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,43466,0.44375000000000003,Credit card,435.66,21.783,6.9
301-11-9629,A,Yangon,Normal,Female,Sports and travel,19.1,7,6.685,140.385,43480,0.4465277777777778,Cash,133.7,6.685,9.7
624-01-8356,B,Mandalay,Normal,Female,Home and lifestyle,49.01,10,24.505,514.605,43492,0.4472222222222222,Credit card,490.1,24.505,4.2
366-93-0948,A,Yangon,Member,Male,Electronic accessories,66.35,1,3.3175,69.6675,43496,0.4486111111111111,Credit card,66.35,3.3175,9.7
862-17-9201,B,Mandalay,Normal,Female,Food and beverages,84.05,6,25.215,529.515,43494,0.45,Credit card,504.3,25.215,7.7
589-02-8023,A,Yangon,Member,Male,Food and beverages,83.77,2,8.377,175.917,43480,0.45416666666666666,Credit card,167.54,8.377,7
704-10-4056,C,Naypyitaw,Member,Male,Health and beauty,60.47,3,9.0705,190.4805,43479,0.4548611111111111,Credit card,181.41,9.0705,5.6
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,43487,0.4548611111111111,Ewallet,672.03,33.6015,9.4
186-09-3669,C,Naypyitaw,Member,Female,Health and beauty,81.51,1,4.0755,85.5855,43487,0.45625,Ewallet,81.51,4.0755,9.2
778-34-2523,A,Yangon,Member,Female,Electronic accessories,48.62,8,19.448,408.408,43489,0.45625,Cash,388.96,19.448,5
460-35-4390,A,Yangon,Normal,Male,Home and lifestyle,30.68,3,4.602,96.642,43487,0.4583333333333333,Ewallet,92.04,4.602,9.1
843-73-4724,A,Yangon,Normal,Male,Fashion accessories,74.1,1,3.705,77.805,43490,0.4618055555555556,Cash,74.1,3.705,9.2
490-29-1201,A,Yangon,Normal,Female,Sports and travel,15.34,1,0.767,16.107,43471,0.46458333333333335,Cash,15.34,0.767,6.5
226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,43475,0.46527777777777773,Ewallet,55.12,2.756,9
477-59-2456,C,Naypyitaw,Normal,Female,Fashion accessories,45.44,7,15.904,333.984,43488,0.46875,Cash,318.08,15.904,9.2
862-59-8517,C,Naypyitaw,Normal,Female,Food and beverages,90.24,6,27.072,568.512,43492,0.4701388888888889,Cash,541.44,27.072,6.2
729-06-2010,B,Mandalay,Member,Male,Health and beauty,80.47,9,36.2115,760.4415,43471,0.4708333333333334,Cash,724.23,36.2115,9.2
478-06-7835,A,Yangon,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,43476,0.47222222222222227,Ewallet,89.69,4.4845,4.9
828-46-6863,A,Yangon,Member,Male,Food and beverages,98.53,6,29.559,620.739,43488,0.47361111111111115,Credit card,591.18,29.559,4
704-11-6354,A,Yangon,Member,Male,Home and lifestyle,58.9,8,23.56,494.76,43471,0.47430555555555554,Cash,471.2,23.56,8.9
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,43470,0.4756944444444444,Cash,250.6,12.53,4.2
852-62-7105,B,Mandalay,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,43477,0.4756944444444444,Credit card,832.5,41.625,4.4
575-67-1508,A,Yangon,Normal,Male,Electronic accessories,38.6,1,1.93,40.53,43494,0.4763888888888889,Ewallet,38.6,1.93,6.7
339-12-4827,B,Mandalay,Member,Female,Fashion accessories,73.96,1,3.698,77.658,43470,0.48055555555555557,Credit card,73.96,3.698,5
804-38-3935,A,Yangon,Member,Male,Electronic accessories,93.78,3,14.067,295.407,43495,0.48055555555555557,Credit card,281.34,14.067,5.9
603-07-0961,C,Naypyitaw,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,43475,0.48194444444444445,Cash,373.95,18.6975,4.9
746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.315,888.615,43466,0.48333333333333334,Credit card,846.3,42.315,9
249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,43468,0.48333333333333334,Ewallet,350.05,17.5025,5.5
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.766,184.086,43466,0.4861111111111111,Ewallet,175.32,8.766,5
189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,96.37,7,33.7295,708.3195,43474,0.4861111111111111,Cash,674.59,33.7295,6
340-21-9136,A,Yangon,Member,Female,Sports and travel,40.05,4,8.01,168.21,43490,0.4861111111111111,Cash,160.2,8.01,9.7
442-44-6497,C,Naypyitaw,Member,Male,Home and lifestyle,55.57,3,8.3355,175.0455,43473,0.4875,Credit card,166.71,8.3355,5.9
533-66-5566,B,Mandalay,Normal,Female,Home and lifestyle,51.07,7,17.8745,375.3645,43477,0.4875,Cash,357.49,17.8745,7
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,132.027,43466,0.48819444444444443,Cash,125.74,6.287,5
151-27-8496,C,Naypyitaw,Normal,Female,Electronic accessories,56.13,4,11.226,235.746,43484,0.48819444444444443,Ewallet,224.52,11.226,8.6
126-54-1082,A,Yangon,Member,Female,Home and lifestyle,21.54,9,9.693,203.553,43472,0.4888888888888889,Credit card,193.86,9.693,8.8
789-23-8625,B,Mandalay,Member,Male,Fashion accessories,93.22,3,13.983,293.643,43489,0.4895833333333333,Cash,279.66,13.983,7.2
343-61-3544,B,Mandalay,Member,Male,Sports and travel,26.67,10,13.335,280.035,43494,0.4916666666666667,Cash,266.7,13.335,8.6
489-82-1237,A,Yangon,Normal,Female,Electronic accessories,93.88,7,32.858,690.018,43470,0.49374999999999997,Credit card,657.16,32.858,7.3
846-10-0341,A,Yangon,Normal,Female,Fashion accessories,42.57,7,14.8995,312.8895,43471,0.49374999999999997,Cash,297.99,14.8995,6.8
434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,15.388,323.148,43488,0.49374999999999997,Cash,307.76,15.388,7.7
544-55-9589,B,Mandalay,Member,Female,Electronic accessories,21.43,10,10.715,225.015,43493,0.49374999999999997,Cash,214.3,10.715,6.2
406-46-7107,A,Yangon,Normal,Female,Home and lifestyle,96.52,6,28.956,608.076,43476,0.49444444444444446,Cash,579.12,28.956,4.5
563-47-4072,B,Mandalay,Normal,Female,Health and beauty,55.81,6,16.743,351.603,43487,0.49444444444444446,Cash,334.86,16.743,9.9
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,43494,0.49722222222222223,Credit card,749.16,37.458,7.4
767-97-4650,B,Mandalay,Member,Female,Sports and travel,64.83,2,6.483,136.143,43473,0.4993055555555555,Credit card,129.66,6.483,8
