Customer type,Rating,Gender,Product line,Unit price
Member,7.1,Male,Food and beveragesdddddd,36.36
Member,7.6,Male,Fashion accessories,51.34
Normal,4.1,Female,Sports and travel,40.62
Member,6.8,Female,Sports and travel,19.15
Normal,9.8,Male,Electronic accessories,61.41
Normal,5,Male,Sports and travel,45.58
Normal,6.4,Male,Sports and travel, Sports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travelSports and travel,78.77
Normal,4.5,Female,Fashion accessories,64.99
Normal,7,Female,Sports and travel,34.81
Member,7.9,Female,Fashion accessories,88.15
Member,4,Male,Health and beauty,51.13
Member,4.7,Female,Home and lifestyle,89.25
Member,8.6,Female,Electronic accessories,12.1
Normal,9.3,Female,Health and beauty,10.99
Member,7.7,Female,Home and lifestyle,88.61
Member,7.1,Female,Home and lifestyle,47.38
Normal,7.3,Female,Electronic accessories,66.06
Member,7.1,Male,Health and beauty,75.88
Normal,6.6,Female,Sports and travel,83.14
Normal,5.5,Female,Fashion accessories,79.86
Normal,6.1,Male,Health and beauty,99.96
Normal,6,Female,Fashion accessories,62.18
Member,8.5,Male,Fashion accessories,98.7
Member,7.5,Male,Sports and travel,82.33
Member,8.9,Male,Food and beverages,57.89
Normal,8.6,Female,Health and beauty,17.75
Normal,8.9,Male,Electronic accessories,75.88
Normal,6.9,Male,Sports and travel,72.61
Normal,9.7,Female,Sports and travel,19.1
Normal,4.2,Female,Home and lifestyle,49.01
Member,9.7,Male,Electronic accessories,66.35
Normal,7.7,Female,Food and beverages,84.05
Member,7,Male,Food and beverages,83.77
Member,5.6,Male,Health and beauty,60.47
Normal,9.4,Male,Home and lifestyle,74.67
Member,9.2,Female,Health and beauty,81.51
Member,5,Female,Electronic accessories,48.62
Normal,9.1,Male,Home and lifestyle,30.68
Normal,9.2,Male,Fashion accessories,74.1
Normal,6.5,Female,Sports and travel,15.34
Normal,9,Female,Electronic accessories,13.78
Normal,9.2,Female,Fashion accessories,45.44
Normal,6.2,Female,Food and beverages,90.24
Member,9.2,Male,Health and beauty,80.47
Normal,4.9,Male,Fashion accessories,89.69
Member,4,Male,Food and beverages,98.53
Member,8.9,Male,Home and lifestyle,58.9
Member,4.2,Male,Home and lifestyle,62.65
Normal,4.4,Female,Fashion accessories,83.25
Normal,6.7,Male,Electronic accessories,38.6
Member,5,Female,Fashion accessories,73.96
Member,5.9,Male,Electronic accessories,93.78
Member,4.9,Male,Electronic accessories,74.79
